Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Fletcher's	100	1	1	1		15				3	300	skilltab	0	1	1										armo	weap											0	0
Bowyer's	100	1	1	40		30				2	300	skilltab	0	2	2										armo	weap											0	0
Archer's	100	1		60		45				1	300	skilltab	0	3	3										armo	weap											0	0
Acrobat's	100	1	1	1		15				3	301	skilltab	1	1	1										armo	weap											0	0
Gymnast's	100	1	1	40		30				2	301	skilltab	1	2	2										armo	weap											0	0
Athlete's	100	1		60		45				1	301	skilltab	1	3	3										armo	weap											0	0
Harpoonist's	100	1	1	1		15				3	302	skilltab	2	1	1										armo	weap											0	0
Spearmaiden's	100	1	1	40		30				2	302	skilltab	2	2	2										armo	weap											0	0
Lancer's	100	1		60		45				1	302	skilltab	2	3	3										armo	weap											0	0
of the Jackal	100	1	1	1		3				6	303	hp		1	5										armo	weap											0	0
of the Fox	100	1	1	11		8				5	303	hp		6	10										armo	weap											0	0
of the Wolf	100	1	1	27		20				4	303	hp		11	20										armo	weap											0	0
of the Tiger	100	1	1	43		35				3	303	hp		21	30										armo	weap											0	0
of the Mammoth	100	1	1	59		51				2	303	hp		31	40										armo	weap											0	0
of the Colossus	100	1		75		67				1	303	hp		41	60										armo	weap											0	0
Lizard's	100	1	1	3		2				4	303	mana		1	5										armo	weap											0	0
Snake's	100	1	1	12		9				3	303	mana		5	10										armo	weap											0	0
Serpent's	100	1	1	23		16				2	303	mana		11	20										armo	weap											0	0
Drake's	100	1	1	34		26				2	303	mana		21	30									cblu	armo	weap											0	0
Dragon's	100	1	1	45		37				1	303	mana		31	40									cblu	armo	weap											0	0
Wyrm's	100	1	1	56		48				1	303	mana		41	60									cblu	armo	weap											0	0
Great Wyrm's	100	1		67		59				1	303	mana		61	80									cblu	armo	weap											0	0
Shimmering	100	1	1	1		3				8	304	res-all		5	10										armo	weap											0	0
Rainbow	100	1	1	18		13				7	304	res-all		8	15										armo	weap											0	0
Scintillating	100	1	1	28		21				6	304	res-all		16	30										armo	weap											0	0
Prismatic	100	1	1	39		31				5	304	res-all		25	35										armo	weap											0	0
Chromatic	100	1		50		42				4	304	res-all		35	45										armo	weap											0	0
Sharp	100	1	1	10		5				3	304	att		15	30	dmg%		10	20						armo	weap											0	0
Fine	100	1	1	18		13				3	304	att		31	60	dmg%		21	30						armo	weap											0	0
Warrior's	100	1	1	30		23				2	304	att		61	80	dmg%		31	40						armo	weap											0	0
Soldier's	100	1	1	42		34				2	304	att		81	100	dmg%		41	50						armo	weap											0	0
Knight's	100	1	1	50		42				2	304	att		101	121	dmg%		51	65					dgld	armo	weap											0	0
of Blight	100	1	1	1		3				3	305	pois-min		8	8	pois-max		24	24	pois-len		75	75		armo	weap											0	0
of Venom	100	1	1	15		11				2	305	pois-min		16	16	pois-max		48	48	pois-len		75	75		armo	weap											0	0
of Pestilence	100	1	1	25		18				2	305	pois-min		32	32	pois-max		72	72	pois-len		100	100		armo	weap											0	0
of Anthrax	100	1		33		25				2	305	pois-min		64	64	pois-max		128	128	pois-len		100	100		armo	weap											0	0
of Shadows	100	1	1	1		3				3	306	dmg-mag		3	5										armo	weap											0	0
of Darkness	100	1	1	15		11				2	306	dmg-mag		6	10										armo	weap											0	0
of Despair	100	1	1	25		18				2	306	dmg-mag		11	20										armo	weap											0	0
of Nightmares	100	1		33		25				2	306	dmg-mag		21	30										armo	weap											0	0
of Ember	100	1	1	1		3				3	306	fire-min		3	3	fire-max		8	8			3	5		armo	weap											0	0
of Cinders	100	1	1	15		11				2	306	fire-min		5	5	fire-max		16	16			6	10		armo	weap											0	0
of Flames	100	1	1	25		18				2	306	fire-min		8	8	fire-max		18	18			11	20		armo	weap											0	0
of Inferno	100	1		33		25				2	306	fire-min		16	16	fire-max		32	32			21	30		armo	weap											0	0
Chromatic	100	1	1	1		1				1	307	pierce		33	33										head												0	0
Chromatic	100	1		1		1				1	308	mag%/lvl	3			rep-quant		40		sock		1	3		bowq	xboq											0	0
Chromatic	100	1	1	1		1				1	309	hit-skill-splash	1	1	1																						0	0
Fcr_staff1	100	1	0	1		1	0			1	400	cast2		10	20										staf												0	1
Fcr_staff2	100	1	0	1		1	0			1	401	cast2		45	45										staf												0	1
Fcr_staff3	100	1	0	1		1	0			1	402	cast2		65	65										staf												0	1
Fcr_orb1	100	1	0	1		1	0			1	403	cast2		15	15										orb												0	1
Fcr_orb2	100	1	0	1		1	0			1	404	cast2		20	20										orb												0	1
Fcr_orb3	100	1	0	1		1	0			1	405	cast2		25	25										orb												0	1
Fcr_scep1	100	1	0	1		1	0			1	406	cast2		15	15										scep												0	1
Fcr_scep2	100	1	0	1		1	0			1	407	cast2		20	20										scep												0	1
Fcr_scep3	100	1	0	1		1	0			1	408	cast2		25	25										scep												0	1
Fcr_wand1	100	1	0	1		1	0			1	409	cast2		10	10										wand												0	1
Fcr_wand2	100	1	0	1		1	0			1	410	cast2		20	20										wand												0	1
Fcr_wand3	100	1	0	1		1	0			1	411	cast2		20	20										wand												0	1
Armor_fhr	100	1	0	1		1	0			1	412	balance2		5	10										armo												0	1
Armor_max_mana	100	1	0	1		1	0			1	413	mana%		1	5										armo												0	1
Armor_max_life	100	1	0	1		1	0			1	414	hp%		1	5										armo												0	1
Armor_ias	100	1	0	1		1	0			1	415	swing2		10	20										armo												0	1
Armor_flat_dr	100	1	0	1		1	0			1	416	red-dmg		3	8										armo												0	1
Armor_allres	100	1	0	1		1	0			1	417	res-all		5	15										armo												0	1
Armor_fcr	100	1	0	1		1	0			1	418	cast2		10	20										armo												0	1
Armor_frw	100	1	0	1		1	0			1	419	move2		10	20										armo												0	1
Armor_flat_mdr	100	1	0	1		1	0			1	420	red-mag		3	8										armo												0	1
Armor_flat_life	100	1	0	1		1	0			1	421	hp		25	100										armo												0	1
Armor_flat_mana	100	1	0	1		1	0			1	422	mana		25	100										armo												0	1
Armor_max_res	100	1	0	1		1	0			1	423	res-all-max		1	5										armo												0	1
Armor_mf	100	1	0	1		1	0			1	424	mag%		10	50										armo												0	1
Armor_res_mag	100	1	0	1		1	0			1	425	res-mag		5	15										armo												0	1
Armor_dr	100	1	0	1		1	0			1	426	red-dmg%		1	5										armo												0	1
